outlet_id,cm_channel_id
396559,90974
20858,1696
20860,90335
20865,5164
20866,568
20869,91257
49373,1650
20878,91261
20883,1827
20896,574
316651,575
297008,6769
20903,91483
20906,90999
396590,8060
297608,91363
20912,579
20933,6862
20939,8152
22356,8154
120694,6854
396710,91095
49381,90605
22586,1521
396693,90453
20974,2047
20977,91143
20984,91429
20989,8158
269188,90481
254099,91477
21018,90849
396542,8599
297066,91039
81544,602
396812,90380
21037,90756
21038,8058
21042,91399
49393,189
255229,90909
21106,8133
334427,6859
21168,2249
21174,90948
107183,163
21189,6890
315683,632
21205,14008
21217,91188
21221,634
396762,91258
253823,6861
21234,6825
21237,91360
21239,638
21241,1684
396790,1520
21244,90770
21246,90983
269176,90870
269171,90660
49408,640
269173,90831
396647,90394
21287,8165
21297,1473
21304,643
21308,6853
21310,1899
21313,90488
21315,786
49416,2277
21323,90690
22357,648
21332,169
21333,91446
21339,90455
255150,91255
297220,90858
49421,90293
21357,91059
79683,652
258179,91051
21363,8171
49423,172
318194,8173
313922,653
21375,8174
396583,654
21376,656
396702,91245
396804,14012
21392,1731
258197,91146
21408,90622
21414,8175
21415,6886
21418,14016
21423,177
79696,90776
21436,90490
21442,8668
21448,90860
21464,90491
21483,1505
263965,671
79706,673
70925,90869
21526,677
396591,542
21536,90998
396656,8178
7017,6963
21573,90979
21582,91187
21590,91445
396644,90452
21594,91165
21603,90194
21604,8179
396585,90962
248317,90815
21625,90784
79762,99
21650,8681
21659,91279
297158,91355
21668,91442
269206,90493
314466,683
21684,90562
21685,91304
21708,686
49442,687
79773,6873
258232,91311
21732,2193
21734,91054
396534,91295
21747,90799
49444,2143
21750,91114
258240,91089
21772,90755
21774,90272
79776,8181
263996,90346
21818,1747
316673,690
21846,6914
21858,90435
21876,90004
396727,90804
21884,701
21885,1519
396711,91117
21890,706
21895,90623
255443,707
79792,91352
21899,91212
396797,1652
21914,8185
21915,8186
21918,6887
396560,5960
269194,90888
21930,8711
21948,713
21952,90692
21963,91033
21971,91243
255027,91256
21975,8436
21976,6783
79803,188
264008,718
264009,719
253763,91484
258286,90434
21988,722
298854,91052
284469,1765
21998,1656
396537,91208
434267,91450
396712,91290
396802,3014
317052,727
22051,8814
22057,90617
22062,90753
256151,90496
396556,1730
22099,6932
22105,6896
404468,90834
81467,90443
49472,193
316677,1489
22120,1762
297086,91220
314471,6821
22132,8194
21258,5690
22135,737
317426,8196
22141,738
22145,90740
22147,8137
22151,1479
396577,14003
22172,8197
22188,745
22190,199
22192,200
22193,201
22202,6781
258319,90783
258320,91186
163627,1890
49477,748
22234,91350
316679,749
297197,90618
79866,751
22267,8205
22270,90498
22273,6944
20612,1440
22281,6871
22285,91310
22287,91240
22289,90675
22291,91383
258340,6919
22296,91000
22300,90978
22301,756
22306,757
396733,4334
22312,90680
22319,6870
79877,90637
49493,2734
79880,208
22339,1517
22342,90500
22361,91428
22362,2192
314182,6780
277553,90722
264039,2234
22374,91266
396759,91267
22383,91260
396659,91049
22385,90442
264040,763
22416,1480
314183,1486
49502,211
107477,90501
22433,8213
396593,90212
316683,216
22444,770
22446,8217
22454,90620
253649,218
22467,90503
79899,8455
22472,90868
284528,91323
22477,8219
22483,90881
22495,90931
22504,90874
258388,90648
22528,8134
269210,2043
22532,90710
392868,779
22537,91372
259546,3018
22542,8437
22553,6855
22564,91436
22574,6934
22578,225
79915,91435
22595,8244
22601,90893
22605,91097
22606,227
22620,91313
22627,90506
22628,8228
22631,91126
22633,8793
22643,1499
297987,91437
79922,90894
22653,6858
49528,1526
264066,231
396824,91155
22667,91427
22670,90247
396815,90662
256189,91308
22684,90507
22687,78
396544,91291
22699,8025
396789,90976
22712,8232
22723,91481
22725,6849
22726,8233
22728,6785
22730,6936
22734,90508
22740,819
79935,91434
22743,91439
316151,235
22752,91473
22756,1773
22757,825
79938,827
49551,8237
21457,8238
22768,833
22769,8239
22770,1772
22774,834
396805,14013
22781,8240
316698,1509
22784,90819
22792,91342
396683,91047
314012,91343
22794,91200
22816,91349
22820,846
297672,2278
297481,90930
50136,5122
396819,90781
22833,6860
22846,90509
49557,90960
22851,6882
22855,8242
22862,90757
22866,855
314197,90510
258474,1776
22871,857
22879,859
22887,1686
79960,9245
22904,91339
22905,864
79963,91017
396715,90981
22908,90993
258492,91403
22921,8869
22926,8246
313934,2114
79968,247
269201,90816
22939,813
22940,871
22944,8059
22948,90787
22949,875
270047,91392
22967,248
22974,8139
22983,249
22994,8880
269211,2088
396558,14004
23008,6558
23019,883
23020,4779
23021,885
23024,1821
23028,251
23034,90514
23043,8252
23046,91348
23057,8253
23058,888
269204,4165
259541,90822
23065,889
258531,90897
396587,90966
396717,91087
396796,868
23089,892
23099,894
79981,6814
23125,90848
23126,91055
258548,90515
23142,90441
396666,91214
23149,91241
297108,91451
79982,897
277545,23124
23338,23054
277544,90910
264197,23125
61439,6656
24109,899
269026,90775
155984,91079
21462,670
24457,90292
43383,6833
298570,90853
319627,91411
396658,91171
396826,7065
246567,91154
264791,90606
196516,91354
49644,40015
396719,91106
21279,90360
295242,90370
46562,20117
255493,6773
269824,91038
26849,90589
396660,8944
49654,8906
27025,8065007
252592,90952
249382,7064
319603,60
40855,2273
43322,414
43429,1403
246820,1734
43195,1362
22709,6892
42646,6921
27461,20157
396661,91169
246861,8039
314657,266
316074,116
22108,8191
22113,8192
49971,8411
396663,91231
265080,947
381798,6557
265084,90460
81175,349
297404,6720
81227,916
49704,914
81319,6847
43103,8392
28050,4544
28051,915
49721,1979
297179,6719
253593,90682
22263,204
22098,90189
43300,90877
316216,90440
81463,90697
251062,6729
71078,90889
49763,109
317695,2204
256675,6823
21226,90485
43088,90685
81528,90891
7065,6992
258109,90679
28198,90968
111886,1080
28235,5676
396667,91151
396706,90719
253492,10
396562,90936
396669,90937
81830,91002
70743,6765
29112,91142
29177,90615
254704,91485
249230,6003
264027,6822
396742,90933
396743,90932
29618,11037
353582,90726
22429,8610
269185,6762
43250,91346
256086,90424
7936,90369
326543,91480
252682,91368
396823,91136
304379,90762
248205,6704
41469,6777
269241,90579
396671,23045
396737,90580
269240,23044
32147,90833
396672,7074
48726,6935
83621,90673
396673,90969
32813,90192
396739,91119
42878,379
22455,90975
49903,90374
396557,90943
33261,23016
396738,90940
305943,23033
254262,91179
326569,90616
34208,91162
117475,90269
396676,6666
255677,91104
396675,91120
415160,91486
396782,91101
396783,91102
396677,91105
47595,91071
34671,91210
326738,20150
47625,90608
396679,20149
49491,91145
277551,90661
35377,90388
396597,91248
35378,90175
35371,91479
396574,6537
35373,90170
28812,90393
277549,90613
415777,91414
259545,2560
319664,90741
266837,91475
23069,91457
405333,90788
336251,7071
249849,7073
8106,6737
49635,90466
396786,90941
396785,90935
396784,90934
210310,90739
396680,91093
36070,90658
396563,91149
297170,90791
22624,6885
258223,91405
43259,90796
36589,91048
47903,6658
396788,23093
36972,651
254240,562
22630,90289
221891,90603
50001,8858
22655,4722
22704,809
270212,1327
50003,91199
258899,6760
86275,91338
49441,1735
249249,7109
404069,91328
404115,91464
404116,91462
49562,90564
39440,1741
319581,90846
294533,91364
396820,91122
7035,6964
50046,91011
297034,91382
49834,923
40823,1095
319680,90802
326625,91247
40191,91301
37021,91012
62335,964
39811,8264
40265,967
267992,90329
295877,6888
42153,8014
48232,960
268142,8071
396678,91107
6431,6716
38167,1628
50100,8440
277541,90837
277547,90612
396792,1974
396720,90827
304132,7102
228904,5858
40830,1825
21295,1618
39581,90836
50166,1142
43523,9412
43263,1183
50144,606
50147,853
50154,2029
20837,564
50161,1718
50164,1303
40916,1114
268435,968
22914,90626
22898,1488
39100,972
240005,2024
248081,90263
416109,91133
317663,258
39456,90517
39460,8259
39462,260
49238,8036
123338,90780
269166,90344
396639,140
39501,1003
39555,6815
259114,91099
39573,1005
39714,263
39770,8367
396600,91217
39798,8441
39805,91377
39808,90772
39850,91317
39856,6812
39858,265
39865,1780
39891,90650
256877,90707
396801,2263
39906,91286
39909,91081
396546,91018
39915,267
39920,1015
396565,396
39922,1016
39932,6778
39939,1017
268674,91447
39945,5352
294167,91029
396746,91131
396566,91096
396777,91066
39948,90712
256891,6879
39973,8045
39976,272
39982,5323
39983,6850
269182,2404
40009,91402
396761,90991
40013,273
89826,91419
50231,1502
40017,6891
40018,6662
317543,275
40024,6772
40025,8276
40028,1370
396551,91028
40032,91367
256915,90717
40039,90003
40042,278
396690,90113
40049,280
40056,91407
254090,91302
40065,8281
396780,91173
40073,90520
40074,91471
40078,90992
40083,6909
232909,91376
80611,283
89837,1049
89839,8073
256951,91408
40116,104
256961,90521
40135,6897
40137,91410
269288,90522
40153,90861
40154,6916
40155,91158
40158,1054
40166,1058
40190,8443
40192,6996
40200,91425
40202,8292
40204,8105
40205,1062
40207,91300
40208,90767
40209,90684
40211,90751
40219,91084
396769,91252
396691,90953
89857,90702
89860,141
89862,356
40270,1065
40304,91329
269202,90724
89887,1067
89898,1136
50264,8003007
40380,90864
40456,14007
277554,90818
396601,91085
40466,91250
40472,91276
50339,294
315062,1082
396692,90349
50280,296
40709,297
40712,91418
298556,91312
298557,91476
71112,6904
396538,90711
316909,2231
40725,1084
90032,90764
90042,8107
396793,91003
40761,299
40766,8300
50285,4519
40780,91246
40781,90599
49166,8303
40794,90449
40797,6941
40802,305
396798,1688
40811,1112
40814,1092
307662,1094
268768,306
40820,8046
50039,91207
40840,6997
40851,1646
40868,91185
90054,91184
40870,6946
295385,91395
268773,90595
40886,8019
396603,6752
40892,8310
40899,90524
298675,91294
40910,6878
40913,90437
396540,91262
297036,91127
40925,90669
40926,90526
40933,90412
40941,90448
40942,8444
40999,90800
396721,91265
297283,91110
41007,90752
41074,90473
41134,1125
41138,90811
41140,90714
396728,90817
41149,1129
255457,90946
41159,316
320575,317
41168,90450
396768,91263
41184,90530
41185,8081
396772,91299
41195,6925
41196,14017
90121,90438
41214,90916
41223,90427
297194,6856
41236,6881
41241,1147
41242,90797
41243,90945
50319,261
41254,5792
50320,1149
41255,1150
41267,1151
41282,90534
41306,90657
41331,90535
41358,1155
41369,90704
297407,6952
41484,6872
41486,91345
396634,322
297565,90713
234738,90546
41577,1159
41584,10326
41585,90674
41598,8083
41604,84
41605,447
41608,1162
41615,111
41616,6929
396750,90786
41618,90790
41625,1166
295825,91378
41629,1167
41633,1168
41634,114
41647,1572
41660,91284
41662,91416
41663,90537
276531,6846
319720,6836
315811,329
41699,8049
41702,90159
316133,332
41716,1181
319721,8333
41719,90913
41782,6764
41787,335
319724,8336
41803,90639
41804,8337
41823,7401
41831,1199
269186,90420
41843,8338
41845,339
276652,90851
41849,91394
396586,91031
41853,91380
41856,1202
41858,90785
41861,1203
41867,434
41869,91282
41889,2185
90657,1210
41900,8446
41916,1213
41917,9533
257211,91420
50354,1525
41924,343
41929,6865
41943,1216
41945,344
41947,1217
396684,5513
41949,345
396770,91281
41962,8346
41977,8051
298562,91005
41980,1230
257228,91381
50364,1962
42000,1449
396751,90801
42028,1242
42042,91389
268905,90844
42055,90463
257243,91409
42063,1348
50370,90825
234814,348
42079,90688
42083,350
42087,1248
42091,90543
42092,90645
42106,1010
396757,91285
42119,90872
42127,91421
42134,1252
42141,90421
42143,90856
42145,87
42147,9233
42155,6801
396791,90862
259371,6930
42175,5847
269172,90830
42211,90425
42215,1643
42218,8053
268919,6776
42234,8353
90517,8135
42240,1282
50408,1283
50390,4121
42279,6834
42281,90604
42284,8359
42285,91400
396718,91293
42355,91319
42366,91449
269165,90196
90552,8361
48692,6775
257303,90977
396741,91253
317240,91390
257310,90474
42582,1285
42592,362
42593,90676
42600,117
50412,1290
42610,91432
42611,2057
42612,1294
42621,3102
42623,1716
42624,6824
295828,91219
42629,1295
42631,42
254849,91203
42633,6848
235540,6931
42655,90768
257342,90771
42662,89
90659,6906
42672,91344
42678,6939
42680,119
50421,368
42683,8040
42686,90823
269493,91270
49846,8369
50424,90652
42702,91366
42705,371
42715,91206
396596,91032
294403,90422
42771,90716
396470,1309
42806,6923
307658,1311
42809,375
42818,1313
307672,91456
42827,8376
395931,1102
90680,90672
42851,6866
42856,378
42863,91037
42865,91347
124698,90694
42877,90798
42887,91386
269030,1316
42905,91375
42916,90547
258610,90548
42930,90989
42948,91406
257402,90808
42950,121
269183,3035
42951,1317
42952,381
42955,8035
42962,90
396604,91
42970,90550
50448,1321
50450,382
42980,9063
317558,1169
396567,91075
297544,6911
90689,383
396775,91065
43008,91357
81148,384
43018,8386
43021,90411
43027,387
257414,91289
43035,90683
396755,91209
396760,91062
43061,90839
43065,90691
43066,8389
43068,2078
43077,8390
43080,8391
43081,90980
43082,8092
43084,6827
43089,1335
255374,91373
43098,90390
396734,91152
43102,90835
50460,124
396698,1011
43110,8393
43114,8394
255489,91397
43121,6857
43123,8395
43125,6899
43126,91393
43134,90428
43139,90553
43141,90376
43142,90875
50247,8397
295449,91362
43148,398
43149,125
298569,91423
43152,1350
43153,126
90712,1352
43159,1353
396699,449
43170,8127
43172,90636
43175,8030
43179,1357
43180,1358
43183,1523
396588,291
43191,8403
43193,1361
315240,404
43200,405
43202,8130
43203,1364
239832,1365
43207,1367
396605,93
269050,1368
43212,94
43224,90554
43225,8693
43228,407
297548,91249
315515,1140
43241,90588
43243,131
43244,90641
43245,90840
235675,8027
396570,90903
43264,1258
235680,91470
43270,90643
43288,8410
396763,91063
50488,1222
43305,1451
43313,90746
259486,91332
396794,91157
43320,90687
43321,2118
43324,90601
43331,90912
43333,90649
295460,91156
43340,1397
257251,6894
396700,2268
43353,417
43357,90555
43360,91191
396580,91030
43379,1645
319750,9110
43389,90986
90741,90561
43393,8418
43397,14019
43398,90773
43404,8419
43412,90671
43431,4248
257498,90990
254049,6945
396701,90904
43461,90593
259518,90432
259520,91196
43474,8034
43477,8422
43483,90696
396708,90987
43490,9273
396745,91204
43508,91046
396753,91228
43527,90749
269065,1415
43537,8425
50500,2195
43553,1717
50503,1093
43557,90921
43558,8426
43562,91254
43570,7114
43575,90878
396547,91019
317307,4873
43592,90899
43607,90387
43608,428
43610,90423
43612,91358
50510,1422
43629,7400
43632,91327
257540,90887
43638,91277
396758,91226
43659,91455
396787,91202
43674,8429
314401,1429
396548,90668
320467,90950
49603,550
49426,1844
396703,91234
396704,91236
48805,90531
63291,90567
236721,91161
7125,6984
